idx,file,result,chart_type
293,stacked_area_overlay.vl.json,filter,area
294,stacked_area_stream.vl.json,Y,area
295,stacked_bar_1d.vl.json,Y,bar
296,stacked_bar_count.vl.json,Y,bar
297,stacked_bar_count_corner_radius_config.vl.json,Y,bar
298,stacked_bar_count_corner_radius_mark.vl.json,Y,bar
299,stacked_bar_count_corner_radius_mark_x.vl.json,Y,bar
300,stacked_bar_count_corner_radius_stroke.vl.json,Y,bar
301,stacked_bar_h.vl.json,Y,bar
302,stacked_bar_h_order.vl.json,Y,bar
303,stacked_bar_h_order_custom.vl.json,Y,bar
304,stacked_bar_normalize.vl.json,filter,bar
305,stacked_bar_population.vl.json,filter,bar
306,stacked_bar_population_transform.vl.json,filter,bar
307,stacked_bar_size.vl.json,Y,bar
308,stacked_bar_sum_opacity.vl.json,filter,bar
309,stacked_bar_v.vl.json,Y,bar
310,stacked_bar_weather.vl.json,extent,bar
311,text_format.vl.json,Y,text
312,text_scatterplot_colored.vl.json,extent,text
313,tick_dot.vl.json,Y,tick
314,tick_dot_thickness.vl.json,Y,tick
315,tick_sort.vl.json,Y,tick
316,tick_strip.vl.json,Y,tick
317,tick_strip_tick_band.vl.json,Y,tick
318,trail_color.vl.json,Y,trail
319,trellis_anscombe.vl.json,Y,trellis
320,trellis_area.vl.json,Y,trellis
321,trellis_area_seattle.vl.json,filter,trellis
322,trellis_area_sort_array.vl.json,Y,trellis
323,trellis_bar.vl.json,filter,trellis
324,trellis_bar_histogram.vl.json,Y,trellis
325,trellis_bar_histogram_label_rotated.vl.json,Y,trellis
326,trellis_barley.vl.json,Y,trellis
327,trellis_barley_independent.vl.json,Y,trellis
328,trellis_barley_layer_median.vl.json,Y,trellis
329,trellis_column_year.vl.json,Y,trellis
330,trellis_line_quarter.vl.json,Y,trellis
331,trellis_row_column.vl.json,Y,trellis
332,trellis_scatter.vl.json,Y,trellis
333,trellis_scatter_binned_row.vl.json,Y,trellis
334,trellis_scatter_small.vl.json,Y,trellis
335,trellis_selections.vl.json,Y,trellis
336,trellis_stacked_bar.vl.json,Y,trellis
337,vconcat_weather.vl.json,Y,vconcat
338,wheat_wages.vl.json,filter,wheat
339,window_cumulative_running_average.vl.json,filter,window
340,window_top_k_others.vl.json,Y,window
